CustomerID,Recency,Frequency,Monetary,Cluster,Segment
12346,325,1,77183.6,3,High-Value
12347,1,7,4310.0,0,Regular
12348,74,4,1797.24,0,Regular
12349,18,1,1757.55,0,Regular
12350,309,1,334.4,1,Occasional
12352,35,8,2506.04,0,Regular
12353,203,1,89.0,1,Occasional
12354,231,1,1079.4,1,Occasional
12355,213,1,459.4,1,Occasional
12356,22,3,2811.43,0,Regular
12357,32,1,6207.67,0,Regular
12358,1,2,1168.06,0,Regular
12359,57,4,6310.03,0,Regular
12360,51,3,2662.06,0,Regular
12361,286,1,189.9,1,Occasional
12362,2,10,5226.23,0,Regular
12363,109,2,552.0,0,Regular
12364,7,4,1313.1,0,Regular
12365,290,2,641.38,1,Occasional
12367,3,1,168.9,0,Regular
12370,50,4,3541.94,0,Regular
12371,44,2,1887.96,0,Regular
12372,71,3,1298.04,0,Regular
12373,310,1,364.6,1,Occasional
12374,24,1,742.9300000000001,0,Regular
12375,10,2,457.5,0,Regular
12377,314,2,1628.12,1,Occasional
12378,129,1,4008.62,0,Regular
12379,81,2,852.24,0,Regular
12380,21,4,2724.81,0,Regular
12381,4,5,1845.31,0,Regular
12383,184,5,1850.56,1,Occasional
12384,28,2,585.27,0,Regular
12386,337,2,401.9,1,Occasional
12388,15,6,2780.66,0,Regular
12390,79,1,549.84,0,Regular
12391,21,1,439.66,0,Regular
12393,71,4,1582.6000000000001,0,Regular
12394,63,2,1272.48,0,Regular
12395,18,12,3018.63,0,Regular
12397,35,2,2409.9,0,Regular
12398,45,1,1635.6599999999999,0,Regular
12399,118,4,1108.65,0,Regular
12401,302,1,84.3,1,Occasional
12402,322,1,225.6,1,Occasional
12403,49,1,427.7,0,Regular
12405,148,1,1710.39,1,Occasional
12406,21,2,3415.3,0,Regular
12407,49,5,1708.1200000000001,0,Regular
12408,32,5,2888.55,0,Regular
12409,78,3,11072.67,0,Regular
12410,308,2,693.3299999999999,1,Occasional
12412,74,3,1226.88,0,Regular
12413,66,3,758.1,0,Regular
12414,216,3,562.41,1,Occasional
12415,23,21,124914.53,4,High-Value
12417,2,9,3649.1,0,Regular
12418,112,1,668.58,0,Regular
12420,63,1,600.39,0,Regular
12421,15,4,807.04,0,Regular
12422,95,3,803.5600000000001,0,Regular
12423,0,8,1859.31,0,Regular
12424,162,2,1760.96,1,Occasional
12425,77,1,777.2,0,Regular
12426,194,1,582.73,1,Occasional
12427,21,3,825.8,0,Regular
12428,25,9,7956.46,0,Regular
12429,8,4,3750.4,0,Regular
12430,42,1,256.4,0,Regular
12431,35,15,6419.95,3,High-Value
12432,42,5,5059.32,0,Regular
12433,0,7,13375.87,0,Regular
12434,84,2,806.14,0,Regular
12435,79,2,7829.89,0,Regular
12436,99,1,509.01,0,Regular
12437,1,18,4951.41,3,High-Value
12438,13,2,2906.85,0,Regular
12441,366,1,173.55,1,Occasional
12442,2,1,172.06,0,Regular
12444,20,5,5005.46,0,Regular
12445,21,1,133.4,0,Regular
12446,57,1,1002.3100000000001,0,Regular
12447,242,1,476.49,1,Occasional
12448,43,1,449.45,0,Regular
12449,21,4,4067.29,0,Regular
12450,155,2,197.88,1,Occasional
12451,10,5,9035.52,0,Regular
12452,16,2,430.57,0,Regular
12453,133,1,707.09,0,Regular
12454,55,1,3528.34,0,Regular
12455,72,6,2466.86,0,Regular
12456,43,3,3181.04,0,Regular
12457,65,7,2363.23,0,Regular
12458,70,2,947.4,0,Regular
12461,93,2,826.88,0,Regular
12462,18,2,1189.59,0,Regular
12463,52,4,1344.78,0,Regular
12464,9,8,1212.05,0,Regular
12465,16,2,742.1899999999999,0,Regular
12468,187,2,729.5400000000001,1,Occasional
12471,1,30,19788.65,3,High-Value
12472,31,7,6572.11,0,Regular
12473,28,5,3928.0499999999997,0,Regular
12474,16,18,7324.09,3,High-Value
12475,53,1,723.38,0,Regular
12476,15,11,6816.42,0,Regular
12477,22,6,13219.74,0,Regular
12478,3,1,680.99,0,Regular
12479,10,1,527.2,0,Regular
12480,27,4,3281.63,0,Regular
