Recency,Frequency,Monetary,Cluster,Segment
325,1,77183.6,3,High-Value
1,7,4310.0,0,Regular
74,4,1797.24,0,Regular
18,1,1757.55,0,Regular
309,1,334.4,1,Occasional
35,8,2506.04,0,Regular
203,1,89.0,1,Occasional
231,1,1079.4,1,Occasional
213,1,459.4,1,Occasional
22,3,2811.43,0,Regular
32,1,6207.67,0,Regular
1,2,1168.06,0,Regular
57,4,6310.03,0,Regular
51,3,2662.06,0,Regular
286,1,189.9,1,Occasional
2,10,5226.23,0,Regular
109,2,552.0,0,Regular
7,4,1313.1,0,Regular
290,2,641.38,1,Occasional
3,1,168.9,0,Regular
50,4,3541.94,0,Regular
44,2,1887.96,0,Regular
71,3,1298.04,0,Regular
310,1,364.6,1,Occasional
24,1,742.9300000000001,0,Regular
10,2,457.5,0,Regular
314,2,1628.12,1,Occasional
129,1,4008.62,0,Regular
81,2,852.24,0,Regular
21,4,2724.81,0,Regular
4,5,1845.31,0,Regular
184,5,1850.56,1,Occasional
28,2,585.27,0,Regular
337,2,401.9,1,Occasional
15,6,2780.66,0,Regular
79,1,549.84,0,Regular
21,1,439.66,0,Regular
71,4,1582.6000000000001,0,Regular
63,2,1272.48,0,Regular
18,12,3018.63,0,Regular
35,2,2409.9,0,Regular
45,1,1635.6599999999999,0,Regular
118,4,1108.65,0,Regular
302,1,84.3,1,Occasional
322,1,225.6,1,Occasional
49,1,427.7,0,Regular
148,1,1710.39,1,Occasional
21,2,3415.3,0,Regular
49,5,1708.1200000000001,0,Regular
32,5,2888.55,0,Regular
78,3,11072.67,0,Regular
308,2,693.3299999999999,1,Occasional
74,3,1226.88,0,Regular
66,3,758.1,0,Regular
216,3,562.41,1,Occasional
23,21,124914.53,4,High-Value
2,9,3649.1,0,Regular
112,1,668.58,0,Regular
63,1,600.39,0,Regular
15,4,807.04,0,Regular
95,3,803.5600000000001,0,Regular
0,8,1859.31,0,Regular
162,2,1760.96,1,Occasional
77,1,777.2,0,Regular
194,1,582.73,1,Occasional
21,3,825.8,0,Regular
25,9,7956.46,0,Regular
8,4,3750.4,0,Regular
42,1,256.4,0,Regular
35,15,6419.95,3,High-Value
42,5,5059.32,0,Regular
0,7,13375.87,0,Regular
84,2,806.14,0,Regular
79,2,7829.89,0,Regular
99,1,509.01,0,Regular
1,18,4951.41,3,High-Value
13,2,2906.85,0,Regular
366,1,173.55,1,Occasional
2,1,172.06,0,Regular
20,5,5005.46,0,Regular
21,1,133.4,0,Regular
57,1,1002.3100000000001,0,Regular
242,1,476.49,1,Occasional
43,1,449.45,0,Regular
21,4,4067.29,0,Regular
155,2,197.88,1,Occasional
10,5,9035.52,0,Regular
16,2,430.57,0,Regular
133,1,707.09,0,Regular
55,1,3528.34,0,Regular
72,6,2466.86,0,Regular
43,3,3181.04,0,Regular
65,7,2363.23,0,Regular
70,2,947.4,0,Regular
93,2,826.88,0,Regular
18,2,1189.59,0,Regular
52,4,1344.78,0,Regular
9,8,1212.05,0,Regular
16,2,742.1899999999999,0,Regular
187,2,729.5400000000001,1,Occasional
1,30,19788.65,3,High-Value
31,7,6572.11,0,Regular
28,5,3928.0499999999997,0,Regular
16,18,7324.09,3,High-Value
53,1,723.38,0,Regular
15,11,6816.42,0,Regular
22,6,13219.74,0,Regular
3,1,680.99,0,Regular
10,1,527.2,0,Regular
27,4,3281.63,0,Regular
22,10,5579.82,0,Regular
16,8,2484.98,0,Regular
32,6,4527.32,0,Regular
9,3,1298.66,0,Regular
335,1,334.93,1,Occasional
4,10,5417.93,0,Regular
38,1,460.40000000000003,0,Regular
62,2,263.21000000000004,0,Regular
165,2,433.74,1,Occasional
15,7,1246.1000000000001,0,Regular
81,1,1043.1,0,Regular
20,3,403.70000000000005,0,Regular
22,11,4257.82,0,Regular
336,1,2169.39,1,Occasional
95,5,3723.87,0,Regular
17,2,482.04999999999995,0,Regular
232,1,73.5,1,Occasional
133,3,1304.81,0,Regular
25,2,397.88,0,Regular
283,1,176.5,1,Occasional
142,2,982.5699999999999,0,Regular
65,2,132.18,0,Regular
112,1,612.29,0,Regular
266,1,1017.68,1,Occasional
352,1,383.7,1,Occasional
77,2,1312.06,0,Regular
27,5,2481.6,0,Regular
0,5,2056.89,0,Regular
63,1,330.84,0,Regular
78,5,2634.26,0,Regular
142,1,599.68,0,Regular
38,2,192.72,0,Regular
18,11,1789.77,0,Regular
8,8,4485.72,0,Regular
0,3,1316.66,0,Regular
81,3,348.71000000000004,0,Regular
8,6,1933.48,0,Regular
59,4,1662.28,0,Regular
14,1,125.22,0,Regular
29,1,349.83000000000004,0,Regular
130,1,1089.18,0,Regular
91,2,716.35,0,Regular
42,3,12601.830000000002,0,Regular
28,1,363.95,0,Regular
21,4,5568.35,0,Regular
19,17,13400.24,3,High-Value
29,3,981.18,0,Regular
35,1,372.7,0,Regular
74,2,1000.39,0,Regular
46,2,1161.5,0,Regular
197,2,207.79999999999998,1,Occasional
165,1,95.19999999999999,1,Occasional
78,1,964.83,0,Regular
357,1,168.0,1,Occasional
38,2,437.82,0,Regular
7,10,3692.28,0,Regular
49,2,599.56,0,Regular
15,5,11990.960000000001,0,Regular
7,1,269.96,0,Regular
310,2,561.71,1,Occasional
4,3,2134.01,0,Regular
302,1,238.85,1,Occasional
7,7,3781.7400000000002,0,Regular
260,1,456.9,1,Occasional
288,1,145.92,1,Occasional
85,1,351.65,0,Regular
22,10,9401.28,0,Regular
1,32,4124.69,3,High-Value
39,2,519.61,0,Regular
8,2,1020.42,0,Regular
226,1,160.54000000000002,1,Occasional
315,1,218.45,1,Occasional
35,5,1315.83,0,Regular
34,3,626.6,0,Regular
20,2,2794.51,0,Regular
77,1,440.42,0,Regular
246,1,415.7,1,Occasional
39,1,197.71,0,Regular
238,2,511.36,1,Occasional
2,15,7281.38,3,High-Value
3,9,2338.15,0,Regular
233,2,2040.1,1,Occasional
16,1,196.94000000000003,0,Regular
7,1,144.0,0,Regular
38,1,214.89999999999998,0,Regular
28,2,646.68,0,Regular
210,2,9864.26,1,Occasional
316,1,452.84999999999997,1,Occasional
91,2,437.6,0,Regular
108,3,418.09999999999997,0,Regular
37,10,3338.2200000000003,0,Regular
50,2,618.27,0,Regular
18,4,3811.22,0,Regular
9,8,3023.08,0,Regular
28,7,1032.58,0,Regular
28,10,2599.04,0,Regular
189,5,577.0600000000001,1,Occasional
58,1,153.12,0,Regular
21,1,739.1999999999999,0,Regular
78,2,254.18,0,Regular
59,1,1579.51,0,Regular
77,3,1126.85,0,Regular
22,5,2099.54,0,Regular
51,1,1193.32,0,Regular
73,1,704.0400000000001,0,Regular
56,5,3344.38,0,Regular
277,1,315.6,1,Occasional
1,4,2291.19,0,Regular
94,2,713.3,0,Regular
28,1,352.98,0,Regular
21,1,177.31,0,Regular
15,9,3641.24,0,Regular
14,3,1339.41,0,Regular
1,20,13689.67,3,High-Value
231,1,180.1,1,Occasional
275,1,305.1,1,Occasional
105,2,641.13,0,Regular
211,2,2683.82,1,Occasional
22,9,6620.48,0,Regular
10,7,4478.53,0,Regular
3,3,786.46,0,Regular
9,2,1270.88,0,Regular
56,1,640.5,0,Regular
58,4,2163.98,0,Regular
89,2,1689.18,0,Regular
66,8,6002.9,0,Regular
32,1,671.69,0,Regular
238,1,486.1,1,Occasional
23,3,1174.58,0,Regular
114,1,185.9,0,Regular
24,3,1013.26,0,Regular
127,6,3344.64,0,Regular
129,1,477.91,0,Regular
33,4,1775.18,0,Regular
4,2,1346.97,0,Regular
21,12,3722.82,0,Regular
154,1,318.05,1,Occasional
106,3,623.51,0,Regular
2,1,314.44,0,Regular
334,1,114.0,1,Occasional
330,1,919.98,1,Occasional
148,2,2209.85,1,Occasional
10,5,601.98,0,Regular
16,5,4051.17,0,Regular
10,4,1643.18,0,Regular
18,1,686.05,0,Regular
29,1,91.68,0,Regular
10,1,245.1,0,Regular
0,11,3849.78,0,Regular
7,9,4881.88,0,Regular
324,1,63.0,1,Occasional
57,1,620.13,0,Regular
11,4,3807.15,0,Regular
150,3,2744.0299999999997,1,Occasional
9,5,2996.05,0,Regular
329,1,225.89999999999998,1,Occasional
4,2,610.52,0,Regular
38,4,1970.6,0,Regular
24,6,1331.39,0,Regular
41,12,17628.46,3,High-Value
58,4,1113.02,0,Regular
0,4,862.81,0,Regular
14,22,13787.54,3,High-Value
3,31,12279.82,3,High-Value
3,15,8476.57,3,High-Value
7,7,2283.63,0,Regular
27,6,2863.08,0,Regular
371,1,89.14,1,Occasional
113,1,4873.8099999999995,0,Regular
25,2,1247.61,0,Regular
205,1,389.01,1,Occasional
27,6,1035.8,0,Regular
126,4,855.91,0,Regular
69,2,869.67,0,Regular
6,4,582.1,0,Regular
28,3,957.59,0,Regular
7,4,4939.99,0,Regular
79,2,797.71,0,Regular
19,1,219.0,0,Regular
70,1,283.55,0,Regular
6,8,2340.84,0,Regular
14,9,6868.29,0,Regular
291,1,603.42,1,Occasional
29,10,2712.91,0,Regular
14,15,9706.52,3,High-Value
96,3,1149.02,0,Regular
28,13,4396.13,0,Regular
0,1,848.55,0,Regular
8,5,4708.86,0,Regular
105,1,343.36,0,Regular
3,2,1053.49,0,Regular
150,2,1030.98,1,Occasional
70,1,238.25,0,Regular
4,2,644.95,0,Regular
2,25,5781.73,3,High-Value
31,6,2656.13,0,Regular
84,4,997.63,0,Regular
3,5,725.07,0,Regular
4,4,1031.41,0,Regular
370,1,427.8,1,Occasional
27,7,2609.1,0,Regular
10,7,3980.7,0,Regular
70,4,836.33,0,Regular
113,1,453.01,0,Regular
23,12,18895.91,3,High-Value
179,1,236.26000000000002,1,Occasional
233,1,383.95,1,Occasional
352,1,110.39999999999999,1,Occasional
314,2,779.5699999999999,1,Occasional
332,1,234.0,1,Occasional
371,1,155.35,1,Occasional
77,2,1013.04,0,Regular
63,1,427.6,0,Regular
133,2,540.13,0,Regular
51,7,21279.29,3,High-Value
1,11,4196.01,0,Regular
0,209,33053.19,2,High-Value
3,5,4090.88,0,Regular
128,1,275.88,0,Regular
80,1,4366.78,0,Regular
22,6,21429.39,3,High-Value
235,3,3010.74,1,Occasional
280,2,3811.95,1,Occasional
86,1,112.07999999999998,0,Regular
15,13,7834.650000000001,3,High-Value
116,2,2791.59,0,Regular
51,3,1531.44,0,Regular
7,2,1898.52,0,Regular
137,2,494.08,0,Regular
316,1,1693.88,1,Occasional
3,7,6989.63,0,Regular
238,1,1143.6,1,Occasional
210,1,1351.45,1,Occasional
59,1,892.47,0,Regular
16,5,1386.04,0,Regular
19,6,822.23,0,Regular
37,8,3981.36,0,Regular
63,2,826.74,0,Regular
4,5,2330.92,0,Regular
1,6,2225.91,0,Regular
8,2,532.8199999999999,0,Regular
363,1,311.95,1,Occasional
9,3,463.66,0,Regular
64,1,91.85,0,Regular
191,1,324.92,1,Occasional
373,1,192.60000000000002,1,Occasional
256,1,400.53999999999996,1,Occasional
334,2,545.48,1,Occasional
52,2,860.41,0,Regular
18,1,430.48,0,Regular
365,1,254.03,1,Occasional
9,3,6977.04,0,Regular
186,1,427.58,1,Occasional
36,3,483.65000000000003,0,Regular
177,1,489.31,1,Occasional
260,3,514.85,1,Occasional
44,1,229.64000000000001,0,Regular
101,1,125.92,0,Regular
147,2,1063.46,1,Occasional
95,2,572.2,0,Regular
280,1,166.04,1,Occasional
261,1,1542.08,1,Occasional
2,4,942.34,0,Regular
213,1,92.72,1,Occasional
70,2,948.88,0,Regular
74,5,1759.5,0,Regular
59,1,397.12,0,Regular
2,7,1474.72,0,Regular
5,3,430.15000000000003,0,Regular
2,6,1018.71,0,Regular
336,2,293.0,1,Occasional
37,6,6814.64,0,Regular
261,1,215.05,1,Occasional
31,2,383.03,0,Regular
144,1,417.38,1,Occasional
282,1,312.38,1,Occasional
58,4,2610.36,0,Regular
172,1,134.1,1,Occasional
33,2,671.95,0,Regular
2,14,5591.42,3,High-Value
143,4,2726.77,0,Regular
4,25,3991.58,3,High-Value
69,2,1118.99,0,Regular
65,8,1702.26,0,Regular
28,2,325.96000000000004,0,Regular
266,4,354.09,1,Occasional
21,1,843.64,0,Regular
30,2,1010.29,0,Regular
96,1,131.81,0,Regular
294,1,311.55,1,Occasional
134,6,1957.1000000000001,0,Regular
78,3,1316.25,0,Regular
372,1,38.1,1,Occasional
7,6,2170.78,0,Regular
210,2,1106.4,1,Occasional
51,1,521.2,0,Regular
137,1,147.12,0,Regular
25,2,1568.23,0,Regular
282,1,559.12,1,Occasional
25,7,4009.34,0,Regular
185,6,1607.0600000000002,1,Occasional
83,2,380.64,0,Regular
326,2,599.97,1,Occasional
281,1,374.0,1,Occasional
142,2,343.2300000000001,0,Regular
57,2,2218.02,0,Regular
3,12,1535.77,0,Regular
235,2,854.99,1,Occasional
44,3,573.22,0,Regular
275,1,298.0,1,Occasional
8,2,1463.04,0,Regular
24,4,703.47,0,Regular
87,1,309.05,0,Regular
62,3,1175.22,0,Regular
67,2,1378.4,0,Regular
213,2,354.12,1,Occasional
23,1,376.71999999999997,0,Regular
185,3,331.0,1,Occasional
30,1,176.55,0,Regular
41,2,372.8,0,Regular
204,2,216.5,1,Occasional
8,28,17654.54,3,High-Value
264,1,138.68,1,Occasional
17,2,496.06,0,Regular
11,5,2919.81,0,Regular
175,2,750.0,1,Occasional
39,5,2178.67,0,Regular
22,8,3075.04,0,Regular
2,5,1662.3,0,Regular
4,5,2483.63,0,Regular
148,2,363.65,1,Occasional
138,4,2944.95,0,Regular
127,1,594.0,0,Regular
7,6,1335.19,0,Regular
16,1,162.78,0,Regular
8,37,16587.09,3,High-Value
160,1,405.38,1,Occasional
63,1,172.82,0,Regular
87,4,933.7,0,Regular
4,2,694.05,0,Regular
34,5,2062.7000000000003,0,Regular
311,1,117.85,1,Occasional
77,2,415.8,0,Regular
21,15,42055.96,3,High-Value
23,3,607.53,0,Regular
1,7,2160.7,0,Regular
16,4,1063.9,0,Regular
14,4,1504.27,0,Regular
25,1,114.14,0,Regular
63,8,11581.8,0,Regular
54,2,899.69,0,Regular
130,3,675.6,0,Regular
35,2,604.51,0,Regular
287,1,462.95,1,Occasional
143,6,1603.99,0,Regular
15,7,2064.95,0,Regular
30,8,4167.22,0,Regular
1,3,1843.0,0,Regular
8,6,1064.07,0,Regular
5,4,1387.79,0,Regular
9,1,329.85,0,Regular
0,11,4757.16,0,Regular
305,1,108.07,1,Occasional
9,8,4017.54,0,Regular
6,2,266.39,0,Regular
7,8,1856.63,0,Regular
88,1,769.8100000000001,0,Regular
9,1,160.18,0,Regular
357,2,1660.9,1,Occasional
111,1,135.95,0,Regular
6,4,405.47,0,Regular
3,86,11189.91,2,High-Value
197,1,144.8,1,Occasional
211,1,738.6,1,Occasional
155,1,39.239999999999995,1,Occasional
157,9,7374.900000000001,0,Regular
29,2,372.21999999999997,0,Regular
242,1,390.54,1,Occasional
18,1,97.5,0,Regular
0,2,1239.38,0,Regular
73,2,558.7,0,Regular
291,1,505.82,1,Occasional
2,15,6924.110000000001,3,High-Value
30,3,409.5,0,Regular
22,2,503.76,0,Regular
22,4,414.76,0,Regular
3,3,974.4200000000001,0,Regular
84,1,211.32,0,Regular
21,4,1226.89,0,Regular
195,3,455.88,1,Occasional
106,3,534.85,0,Regular
3,13,9785.970000000001,3,High-Value
317,1,120.94999999999999,1,Occasional
105,3,149.05,0,Regular
11,18,5655.91,3,High-Value
173,2,513.7,1,Occasional
55,1,81.57,0,Regular
322,1,229.46999999999997,1,Occasional
371,1,50.550000000000004,1,Occasional
8,8,1646.8400000000001,0,Regular
0,13,4810.9400000000005,0,Regular
10,10,3466.2799999999997,0,Regular
52,5,3339.64,0,Regular
72,3,789.89,0,Regular
6,1,204.0,0,Regular
15,28,7277.7,3,High-Value
3,9,2616.38,0,Regular
63,2,689.9,0,Regular
0,5,975.36,0,Regular
113,6,6912.0,0,Regular
22,2,661.3199999999999,0,Regular
30,3,1247.5,0,Regular
10,2,752.4399999999999,0,Regular
51,2,1010.18,0,Regular
356,1,190.55,1,Occasional
54,2,642.77,0,Regular
73,2,921.88,0,Regular
137,3,881.07,0,Regular
79,3,908.46,0,Regular
8,2,676.99,0,Regular
272,1,516.42,1,Occasional
290,1,560.47,1,Occasional
98,1,305.28000000000003,0,Regular
30,2,629.31,0,Regular
31,10,3237.54,0,Regular
13,4,1819.41,0,Regular
63,2,656.6800000000001,0,Regular
14,17,5836.86,3,High-Value
211,1,348.15000000000003,1,Occasional
77,3,1214.41,0,Regular
24,3,271.40000000000003,0,Regular
249,1,183.4,1,Occasional
253,1,307.53,1,Occasional
71,1,248.61,0,Regular
190,1,346.98,1,Occasional
12,4,1105.59,0,Regular
372,1,205.86,1,Occasional
23,2,470.8,0,Regular
81,1,115.46000000000001,0,Regular
9,2,344.0,0,Regular
0,24,4431.44,3,High-Value
191,1,228.8,1,Occasional
266,1,177.15,1,Occasional
129,1,919.61,0,Regular
0,4,728.02,0,Regular
2,26,12627.94,3,High-Value
3,5,220.10000000000002,0,Regular
178,1,58.08,1,Occasional
11,11,28337.38,3,High-Value
125,9,3613.63,0,Regular
3,2,303.75,0,Regular
157,2,416.08000000000004,1,Occasional
2,97,58762.08,2,High-Value
8,14,8910.82,3,High-Value
27,1,345.82,0,Regular
70,5,477.83,0,Regular
275,8,7832.47,1,Occasional
20,12,1927.3200000000002,0,Regular
70,1,74.39999999999999,0,Regular
32,10,6003.22,0,Regular
0,28,28882.44,3,High-Value
98,1,207.35999999999999,0,Regular
233,1,101.19,1,Occasional
0,24,6424.09,3,High-Value
39,1,243.94,0,Regular
2,6,1098.48,0,Regular
132,1,76.5,0,Regular
43,4,1531.6200000000001,0,Regular
372,1,350.06,1,Occasional
59,2,786.54,0,Regular
30,7,1488.67,0,Regular
0,24,12245.960000000001,3,High-Value
11,4,2294.78,0,Regular
137,1,501.14,0,Regular
21,8,984.91,0,Regular
19,5,1197.81,0,Regular
238,1,30.599999999999998,1,Occasional
268,1,283.73,1,Occasional
93,2,922.39,0,Regular
89,3,3756.33,0,Regular
4,8,2099.64,0,Regular
77,1,259.17,0,Regular
93,1,64.0,0,Regular
22,3,1073.3,0,Regular
261,1,77.3,1,Occasional
273,2,109.8,1,Occasional
85,4,1793.58,0,Regular
196,1,3096.0,1,Occasional
55,5,2607.61,0,Regular
10,8,3603.29,0,Regular
21,6,962.39,0,Regular
15,7,5064.94,0,Regular
107,3,422.47,0,Regular
84,5,2388.75,0,Regular
18,1,307.09,0,Regular
332,1,110.95,1,Occasional
39,4,618.52,0,Regular
25,1,228.91,0,Regular
9,4,712.8000000000001,0,Regular
28,12,3683.26,0,Regular
13,4,1676.06,0,Regular
295,1,1257.8700000000001,1,Occasional
5,1,486.22,0,Regular
32,4,971.76,0,Regular
48,4,1741.22,0,Regular
94,4,1201.06,0,Regular
8,4,1429.35,0,Regular
21,1,91.8,0,Regular
312,1,112.75,1,Occasional
121,4,1688.29,0,Regular
45,2,1021.48,0,Regular
282,1,417.2,1,Occasional
18,4,791.33,0,Regular
35,4,1299.59,0,Regular
63,2,712.88,0,Regular
26,1,108.81,0,Regular
21,3,468.41,0,Regular
3,2,353.65,0,Regular
15,3,2742.82,0,Regular
45,1,481.49,0,Regular
64,1,282.45,0,Regular
25,11,5725.47,0,Regular
44,1,121.18,0,Regular
7,9,3957.78,0,Regular
14,10,1668.95,0,Regular
267,1,71.4,1,Occasional
39,3,1575.89,0,Regular
336,1,236.02,1,Occasional
10,1,114.60000000000001,0,Regular
18,2,260.68,0,Regular
94,2,911.94,0,Regular
60,1,112.08,0,Regular
135,1,60.7,0,Regular
10,4,1797.78,0,Regular
9,6,3401.2400000000002,0,Regular
3,38,9817.12,3,High-Value
18,4,870.09,0,Regular
9,4,869.46,0,Regular
14,2,250.26000000000002,0,Regular
58,6,1217.65,0,Regular
29,8,5891.61,0,Regular
93,1,353.48,0,Regular
9,3,1095.42,0,Regular
19,3,786.83,0,Regular
56,5,1520.58,0,Regular
267,1,333.74,1,Occasional
121,3,533.98,0,Regular
126,1,62.63999999999999,0,Regular
77,4,819.2900000000001,0,Regular
239,2,847.41,1,Occasional
199,2,163.20000000000002,1,Occasional
59,2,2155.95,0,Regular
2,7,6463.84,0,Regular
272,1,108.21000000000001,1,Occasional
201,1,257.7,1,Occasional
80,1,358.0,0,Regular
